Step:   66, Loss: 1.0872, D_loss: 1.0552, G_loss: 0.0000, G_reg: 0.0320
Step:   67, Loss: 1.0604, D_loss: 0.9920, G_loss: 0.0000, G_reg: 0.0684
Step:   68, Loss: 1.3285, D_loss: 1.2473, G_loss: 0.0000, G_reg: 0.0811
Step:   69, Loss: 0.9996, D_loss: 0.9461, G_loss: 0.0000, G_reg: 0.0535
Step:   70, Loss: 1.2751, D_loss: 0.9792, G_loss: 0.0000, G_reg: 0.2959
Step:   71, Loss: 1.0965, D_loss: 0.9378, G_loss: 0.0000, G_reg: 0.1588
Step:   72, Loss: 1.2016, D_loss: 1.1742, G_loss: 0.0000, G_reg: 0.0274
Step:   73, Loss: 1.1092, D_loss: 1.0645, G_loss: 0.0000, G_reg: 0.0447
Step:   74, Loss: 1.4083, D_loss: 1.1138, G_loss: 0.0000, G_reg: 0.2945
Step:   75, Loss: 1.1738, D_loss: 0.9378, G_loss: 0.0000, G_reg: 0.2360
Step:   76, Loss: 1.1317, D_loss: 1.0877, G_loss: 0.0000, G_reg: 0.0440
Step:   77, Loss: 1.2514, D_loss: 1.1751, G_loss: 0.0000, G_reg: 0.0764
Step:   78, Loss: 1.2832, D_loss: 1.0290, G_loss: 0.0000, G_reg: 0.2542
Step:   79, Loss: 1.2224, D_loss: 0.9490, G_loss: 0.0000, G_reg: 0.2734
Step:   80, Loss: 1.3510, D_loss: 1.3031, G_loss: 0.0000, G_reg: 0.0479
Step:   81, Loss: 1.2648, D_loss: 0.9570, G_loss: 0.0000, G_reg: 0.3078
Step:   82, Loss: 1.0772, D_loss: 0.9719, G_loss: 0.0000, G_reg: 0.1053
Step:   83, Loss: 1.1519, D_loss: 1.1236, G_loss: 0.0000, G_reg: 0.0283
Step:   84, Loss: 1.1919, D_loss: 0.9587, G_loss: 0.0000, G_reg: 0.2332
Step:   85, Loss: 1.0112, D_loss: 0.9423, G_loss: 0.0000, G_reg: 0.0689
Step:   86, Loss: 1.1900, D_loss: 0.9341, G_loss: 0.0000, G_reg: 0.2559
Step:   87, Loss: 1.0528, D_loss: 0.9807, G_loss: 0.0000, G_reg: 0.0721
Step:   88, Loss: 1.0503, D_loss: 0.9790, G_loss: 0.0000, G_reg: 0.0713
Step:   89, Loss: 1.0408, D_loss: 0.9744, G_loss: 0.0000, G_reg: 0.0664
Step:   90, Loss: 1.1436, D_loss: 0.9455, G_loss: 0.0000, G_reg: 0.1981
Step:   91, Loss: 1.0343, D_loss: 0.9246, G_loss: 0.0000, G_reg: 0.1097
Step:   92, Loss: 1.0235, D_loss: 0.9282, G_loss: 0.0000, G_reg: 0.0953
Step:   93, Loss: 1.3805, D_loss: 1.2851, G_loss: 0.0000, G_reg: 0.0955
Step:   94, Loss: 1.2397, D_loss: 1.1405, G_loss: 0.0000, G_reg: 0.0992
Step:   95, Loss: 1.2292, D_loss: 0.9908, G_loss: 0.0000, G_reg: 0.2384
Step:   96, Loss: 1.1135, D_loss: 0.9953, G_loss: 0.0000, G_reg: 0.1181
Step:   97, Loss: 1.1164, D_loss: 0.9354, G_loss: 0.0000, G_reg: 0.1810
Step:   98, Loss: 1.1043, D_loss: 0.8944, G_loss: 0.0000, G_reg: 0.2099
Step:   99, Loss: 1.1851, D_loss: 0.9580, G_loss: 0.0000, G_reg: 0.2270
Step:  100, Loss: 1.1343, D_loss: 0.9321, G_loss: 0.0000, G_reg: 0.2022
Step:  101, Loss: 1.2593, D_loss: 1.0606, G_loss: 0.0000, G_reg: 0.1987
